,Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
153578,2022,OH,Ohio,Mahoning,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,%,Crude prevalence,9.4,,,8.6,10.3,225636,180235,39099,SOCLNEED,LACKTRPT,CrdPrv,Transportation Barriers,POINT (-80.7763089335898 41.014638072438)
153580,2022,OH,Ohio,Hardin,BRFSS,Prevention,Visited dentist or dental clinic in the past year among adults,%,Crude prevalence,53.6,,,49.9,57.5,30416,23363,39065,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-83.6594148955231 40.6616220714596)
153583,2022,OH,Ohio,Lorain,BRFSS,Disability,Vision disability among adults,%,Age-adjusted prevalence,5.3,,,4.9,5.8,316268,248544,39093,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-82.1508887298398 41.2956651025634)
153586,2022,OH,Ohio,Brown,BRFSS,Prevention,Colorectal cancer screening among adults aged 45–75 years,%,Crude prevalence,65.6,,,60.8,70.2,43680,33820,39015,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-83.8672503844998 38.933768273729)
153587,2022,OH,Ohio,Lake,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,76.9,,,70.3,82.7,231842,187697,39085,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-81.2368191610819 41.6970249003529)
153589,2022,OH,Ohio,Medina,BRFSS,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,%,Age-adjusted prevalence,7.6,,,6.7,8.6,183512,144713,39103,SOCLNEED,SHUTUTILITY,AgeAdjPrv,Utility Services Threat,POINT (-81.899694474725 41.1175710779189)
153590,2022,OH,Ohio,Butler,BRFSS,Disability,Hearing disability among adults,%,Crude prevalence,7.0,,,6.3,7.8,388420,298743,39017,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-84.5755446176036 39.4386549224371)
153598,2022,OH,Ohio,Gallia,BRFSS,Health-Related Social Needs,Lack of social and emotional support among adults,%,Age-adjusted prevalence,23.4,,,20.1,26.9,29068,22281,39053,SOCLNEED,EMOTIONSPT,AgeAdjPrv,Lack of Social/Emotional Support,POINT (-82.3168675618097 38.8247465141511)
153605,2022,OH,Ohio,Hamilton,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,78.6,,,73.0,83.4,825037,638597,39061,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-84.542601023044 39.1955454321754)
153606,2022,OH,Ohio,Butler,BRFSS,Health Status,Frequent physical distress among adults,%,Crude prevalence,14.0,,,12.6,15.5,388420,298743,39017,HLTHSTAT,PHLTH,CrdPrv,Frequent Physical Distress,POINT (-84.5755446176036 39.4386549224371)
153615,2021,OH,Ohio,Fulton,BRFSS,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude prevalence,80.1,,,77.0,83.0,42171,32496,39051,PREVENT,BPMED,CrdPrv,High Blood Pressure Medication,POINT (-84.1297060031289 41.6019480693719)
153616,2022,OH,Ohio,Lucas,BRFSS,Disability,Self-care disability among adults,%,Crude prevalence,4.6,,,4.2,4.9,426643,329973,39095,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-83.6584628770734 41.6198809742992)
153619,2022,OH,Ohio,Brown,BRFSS,Disability,Hearing disability among adults,%,Age-adjusted prevalence,7.2,,,6.4,8.0,43680,33820,39015,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-83.8672503844998 38.933768273729)
153620,2021,OH,Ohio,Coshocton,BRFSS,Prevention,Cholesterol screening among adults,%,Age-adjusted prevalence,80.3,,,77.5,83.1,36571,27883,39031,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-81.9201277213696 40.3017013117605)
153624,2022,OH,Ohio,Belmont,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Age-adjusted prevalence,23.2,,,20.8,25.6,65509,53278,39013,RISKBEH,CSMOKING,AgeAdjPrv,Current Cigarette Smoking,POINT (-80.9884007171154 40.0158385533074)
153626,2022,OH,Ohio,Clermont,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults,%,Crude prevalence,9.3,,,8.4,10.3,210805,164528,39025,HLTHOUT,COPD,CrdPrv,COPD,POINT (-84.1516609554165 39.0475584272622)
153634,2022,OH,Ohio,Clinton,BRFSS,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,%,Crude prevalence,8.4,,,7.3,9.5,41964,32647,39027,SOCLNEED,SHUTUTILITY,CrdPrv,Utility Services Threat,POINT (-83.8084036693333 39.4149624798012)
153638,2022,OH,Ohio,Auglaize,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,73.6,,,66.1,80.2,45948,35074,39011,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-84.2217028293862 40.5608789781255)
153644,2022,OH,Ohio,Hamilton,BRFSS,Health Outcomes,Cancer (non-skin) or melanoma among adults,%,Crude prevalence,7.7,,,7.0,8.4,825037,638597,39061,HLTHOUT,CANCER,CrdPrv,Cancer (non-skin) or Melanoma,POINT (-84.542601023044 39.1955454321754)
153648,2022,OH,Ohio,Marion,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,20.0,,,16.7,23.6,64642,50880,39101,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-83.1608334768194 40.5872736718226)
153653,2021,OH,Ohio,Fairfield,BRFSS,Health Outcomes,High blood pressure among adults,%,Age-adjusted prevalence,32.5,,,28.7,36.4,162898,124397,39045,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-82.6306572277557 39.7516133054728)
153654,2022,OH,Ohio,Medina,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,%,Crude prevalence,6.6,,,6.0,7.3,183512,144713,39103,SOCLNEED,LACKTRPT,CrdPrv,Transportation Barriers,POINT (-81.899694474725 41.1175710779189)
153658,2022,OH,Ohio,Miami,BRFSS,Health Outcomes,Depression among adults,%,Age-adjusted prevalence,26.8,,,23.1,30.8,110247,85193,39109,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-84.2289753159029 40.0535853378213)
153665,2022,OH,Ohio,Lorain,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,79.6,,,76.3,82.5,316268,248544,39093,PREVENT,CHECKUP,CrdPrv,Annual Checkup,POINT (-82.1508887298398 41.2956651025634)
153667,2022,OH,Ohio,Ashland,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,7.2,,,6.4,8.1,52181,40624,39005,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-82.2704647361258 40.8460354747863)
153668,2022,OH,Ohio,Gallia,BRFSS,Health-Related Social Needs,Feeling socially isolated among adults,%,Crude prevalence,32.4,,,27.7,37.5,29068,22281,39053,SOCLNEED,ISOLATION,CrdPrv,Social Isolation,POINT (-82.3168675618097 38.8247465141511)
153669,2022,OH,Ohio,Defiance,BRFSS,Health-Related Social Needs,Food insecurity in the past 12 months among adults,%,Age-adjusted prevalence,12.6,,,11.2,14.2,38187,29606,39039,SOCLNEED,FOODINSECU,AgeAdjPrv,Food Insecurity,POINT (-84.4905879101881 41.3239133830731)
153670,2022,OH,Ohio,Belmont,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,8.8,,,7.8,9.9,65509,53278,39013,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-80.9884007171154 40.0158385533074)
153672,2022,OH,Ohio,Fayette,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,11.9,,,10.5,13.4,28839,22120,39047,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-83.4560989933978 39.559992354904)
153676,2022,OH,Ohio,Crawford,BRFSS,Disability,Mobility disability among adults,%,Age-adjusted prevalence,16.4,,,14.6,18.3,41522,32608,39033,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-82.9197685705352 40.8507264130061)
153683,2022,OH,Ohio,Clinton,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,14.2,,,12.4,16.1,41964,32647,39027,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-83.8084036693333 39.4149624798012)
153685,2022,OH,Ohio,Franklin,BRFSS,Health Risk Behaviors,Short sleep duration among adults,%,Age-adjusted prevalence,36.6,,,33.4,39.7,1321820,1018815,39049,RISKBEH,SLEEP,AgeAdjPrv,Short Sleep Duration,POINT (-83.0095596369965 39.9695482397033)
153689,2022,OH,Ohio,Darke,BRFSS,Health-Related Social Needs,Received food stamps in the past 12 months among adults,%,Crude prevalence,18.2,,,16.2,20.2,51529,39444,39037,SOCLNEED,FOODSTAMP,CrdPrv,Food Stamps,POINT (-84.61951761493 40.1332727231473)
153690,2022,OH,Ohio,Guernsey,BRFSS,Disability,Hearing disability among adults,%,Age-adjusted prevalence,7.6,,,6.8,8.5,38098,29746,39059,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-81.494271058754 40.0520872571802)
153697,2022,OH,Ohio,Champaign,BRFSS,Health Outcomes,Depression among adults,%,Crude prevalence,26.4,,,22.7,30.5,38709,30246,39021,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-83.7695338263695 40.1377112794664)
153698,2022,OH,Ohio,Lake,BRFSS,Health Risk Behaviors,Short sleep duration among adults,%,Crude prevalence,38.9,,,33.4,44.7,231842,187697,39085,RISKBEH,SLEEP,CrdPrv,Short Sleep Duration,POINT (-81.2368191610819 41.6970249003529)
153700,2022,OH,Ohio,Butler,BRFSS,Disability,Any disability among adults,%,Crude prevalence,33.7,,,30.3,37.2,388420,298743,39017,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-84.5755446176036 39.4386549224371)
153704,2022,OH,Ohio,Huron,BRFSS,Health-Related Social Needs,Lack of social and emotional support among adults,%,Crude prevalence,24.2,,,20.7,27.8,58218,44548,39077,SOCLNEED,EMOTIONSPT,CrdPrv,Lack of Social/Emotional Support,POINT (-82.5978887799573 41.1464249274686)
153705,2021,OH,Ohio,Knox,BRFSS,Health Outcomes,High blood pressure among adults,%,Age-adjusted prevalence,30.8,,,27.4,34.3,63183,48910,39083,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-82.4215435805835 40.3988019956419)
153709,2022,OH,Ohio,Knox,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults,%,Age-adjusted prevalence,6.9,,,6.2,7.6,63183,48910,39083,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-82.4215435805835 40.3988019956419)
153712,2022,OH,Ohio,Lawrence,BRFSS,Disability,Independent living disability among adults,%,Crude prevalence,11.2,,,10.2,12.3,56653,44509,39087,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-82.536984256161 38.5987545151818)
153715,2022,OH,Ohio,Henry,BRFSS,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,%,Age-adjusted prevalence,11.8,,,10.4,13.4,27512,21208,39069,SOCLNEED,HOUSINSECU,AgeAdjPrv,Housing Insecurity,POINT (-84.0682769490792 41.3339046653253)
153716,2022,OH,Ohio,Clark,BRFSS,Health Outcomes,Arthritis among adults,%,Age-adjusted prevalence,29.0,,,25.9,32.1,134831,104795,39023,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-83.7843901210144 39.9166223719097)
153718,2022,OH,Ohio,Greene,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,80.2,,,77.1,83.3,168456,133968,39057,PREVENT,CHECKUP,CrdPrv,Annual Checkup,POINT (-83.8900404276245 39.6915038814677)
153719,2022,OH,Ohio,Harrison,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,28.0,,,23.8,32.6,14378,11389,39067,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-81.091379743179 40.2936613564664)
153726,2022,OH,Ohio,Fayette,BRFSS,Health Outcomes,Obesity among adults,%,Age-adjusted prevalence,40.6,,,33.5,47.6,28839,22120,39047,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-83.4560989933978 39.559992354904)
153728,2022,OH,Ohio,Jefferson,BRFSS,Health Outcomes,Coronary heart disease among adults,%,Crude prevalence,9.7,,,8.8,10.6,64330,51914,39081,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-80.7611246090452 40.3850232178899)
153729,2022,OH,Ohio,Mercer,BRFSS,Disability,Self-care disability among adults,%,Age-adjusted prevalence,3.3,,,3.0,3.6,42348,31316,39107,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability,POINT (-84.6293396544299 40.5399599689642)
153730,2021,OH,Ohio,Lorain,BRFSS,Health Outcomes,High cholesterol among adults who have ever been screened,%,Age-adjusted prevalence,29.5,,,25.9,33.5,316268,248544,39093,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-82.1508887298398 41.2956651025634)
153734,2022,OH,Ohio,Darke,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults,%,Age-adjusted prevalence,9.0,,,8.1,9.9,51529,39444,39037,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-84.61951761493 40.1332727231473)
153736,2022,OH,Ohio,Lucas,BRFSS,Disability,Independent living disability among adults,%,Crude prevalence,10.0,,,9.1,10.9,426643,329973,39095,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-83.6584628770734 41.6198809742992)
153741,2022,OH,Ohio,Crawford,BRFSS,Disability,Vision disability among adults,%,Crude prevalence,6.6,,,6.0,7.2,41522,32608,39033,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-82.9197685705352 40.8507264130061)
153742,2022,OH,Ohio,Huron,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,10.0,,,8.9,11.2,58218,44548,39077,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-82.5978887799573 41.1464249274686)
153748,2022,OH,Ohio,Madison,BRFSS,Health-Related Social Needs,Feeling socially isolated among adults,%,Crude prevalence,33.7,,,28.7,38.7,43540,34825,39097,SOCLNEED,ISOLATION,CrdPrv,Social Isolation,POINT (-83.4006589159011 39.894160047348)
153749,2022,OH,Ohio,Belmont,BRFSS,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,%,Crude prevalence,8.7,,,7.7,9.9,65509,53278,39013,SOCLNEED,SHUTUTILITY,CrdPrv,Utility Services Threat,POINT (-80.9884007171154 40.0158385533074)
153750,2022,OH,Ohio,Guernsey,BRFSS,Health Status,Frequent mental distress among adults,%,Crude prevalence,21.1,,,19.1,23.0,38098,29746,39059,HLTHSTAT,MHLTH,CrdPrv,Frequent Mental Distress,POINT (-81.494271058754 40.0520872571802)
153757,2022,OH,Ohio,Allen,BRFSS,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,%,Age-adjusted prevalence,13.7,,,12.1,15.4,101115,77523,39003,SOCLNEED,HOUSINSECU,AgeAdjPrv,Housing Insecurity,POINT (-84.1057940825963 40.7714977646394)
153760,2022,OH,Ohio,Logan,BRFSS,Disability,Independent living disability among adults,%,Age-adjusted prevalence,9.6,,,8.6,10.5,46040,35671,39091,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-83.76563102183 40.3884968079535)
153769,2022,OH,Ohio,Medina,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,17.0,,,15.1,19.2,183512,144713,39103,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,POINT (-81.899694474725 41.1175710779189)
153770,2022,OH,Ohio,Hocking,BRFSS,Health Outcomes,Current asthma among adults,%,Age-adjusted prevalence,12.0,,,10.7,13.4,27858,21851,39073,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-82.4790929531545 39.4970988676517)
153775,2022,OH,Ohio,Greene,BRFSS,Health Risk Behaviors,Short sleep duration among adults,%,Crude prevalence,37.0,,,32.2,42.4,168456,133968,39057,RISKBEH,SLEEP,CrdPrv,Short Sleep Duration,POINT (-83.8900404276245 39.6915038814677)
153784,2022,OH,Ohio,Lucas,BRFSS,Prevention,Colorectal cancer screening among adults aged 45–75 years,%,Age-adjusted prevalence,60.1,,,56.2,64.0,426643,329973,39095,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-83.6584628770734 41.6198809742992)
153788,2022,OH,Ohio,Geauga,BRFSS,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,%,Age-adjusted prevalence,5.7,,,4.9,6.5,95469,74460,39055,SOCLNEED,SHUTUTILITY,AgeAdjPrv,Utility Services Threat,POINT (-81.1785666230898 41.4995505355057)
153796,2022,OH,Ohio,Erie,BRFSS,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,%,Crude prevalence,9.8,,,8.6,11.1,74501,59951,39043,SOCLNEED,HOUSINSECU,CrdPrv,Housing Insecurity,POINT (-82.6382293326083 41.3742735650267)
153801,2022,OH,Ohio,Madison,BRFSS,Health Outcomes,Stroke among adults,%,Age-adjusted prevalence,3.3,,,3.0,3.6,43540,34825,39097,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-83.4006589159011 39.894160047348)
153808,2022,OH,Ohio,Auglaize,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,17.9,,,15.9,20.1,45948,35074,39011,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,POINT (-84.2217028293862 40.5608789781255)
153810,2022,OH,Ohio,Ashtabula,BRFSS,Disability,Hearing disability among adults,%,Age-adjusted prevalence,7.2,,,6.5,8.0,97014,76002,39007,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-80.7483101330855 41.7071560039231)
153811,2022,OH,Ohio,Hamilton,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,38.2,,,34.1,42.3,825037,638597,39061,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-84.542601023044 39.1955454321754)
153817,2022,OH,Ohio,Holmes,BRFSS,Disability,Mobility disability among adults,%,Age-adjusted prevalence,17.7,,,15.8,19.6,44390,31071,39075,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-81.9295580157618 40.5612300981469)
153819,2022,OH,Ohio,Adams,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,%,Crude prevalence,9.4,,,8.5,10.4,27420,20825,39001,SOCLNEED,LACKTRPT,CrdPrv,Transportation Barriers,POINT (-83.4720531231294 38.8454930546772)
153821,2022,OH,Ohio,Adams,BRFSS,Health Risk Behaviors,Binge drinking among adults,%,Age-adjusted prevalence,19.7,,,16.2,23.7,27420,20825,39001,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-83.4720531231294 38.8454930546772)
153829,2022,OH,Ohio,Coshocton,BRFSS,Disability,Any disability among adults,%,Crude prevalence,37.6,,,33.4,41.5,36571,27883,39031,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-81.9201277213696 40.3017013117605)
153831,2022,OH,Ohio,Clermont,BRFSS,Health Outcomes,Obesity among adults,%,Age-adjusted prevalence,40.1,,,34.4,46.4,210805,164528,39025,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-84.1516609554165 39.0475584272622)
153833,2022,OH,Ohio,Jackson,BRFSS,Disability,Any disability among adults,%,Age-adjusted prevalence,36.0,,,32.2,40.1,32586,24880,39079,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-82.6182154386703 39.019742017525)
153857,2022,OH,Ohio,Lake,BRFSS,Disability,Mobility disability among adults,%,Age-adjusted prevalence,12.7,,,11.3,14.2,231842,187697,39085,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-81.2368191610819 41.6970249003529)
153858,2022,OH,Ohio,Mahoning,BRFSS,Health Risk Behaviors,Binge drinking among adults,%,Crude prevalence,16.1,,,13.5,19.0,225636,180235,39099,RISKBEH,BINGE,CrdPrv,Binge Drinking,POINT (-80.7763089335898 41.014638072438)
153860,2022,OH,Ohio,Belmont,BRFSS,Health-Related Social Needs,Food insecurity in the past 12 months among adults,%,Crude prevalence,14.4,,,12.9,16.0,65509,53278,39013,SOCLNEED,FOODINSECU,CrdPrv,Food Insecurity,POINT (-80.9884007171154 40.0158385533074)
153864,2022,OH,Ohio,Madison,BRFSS,Health Outcomes,Coronary heart disease among adults,%,Age-adjusted prevalence,7.0,,,6.4,7.8,43540,34825,39097,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-83.4006589159011 39.894160047348)
153869,2022,OH,Ohio,Clark,BRFSS,Health-Related Social Needs,Received food stamps in the past 12 months among adults,%,Crude prevalence,17.0,,,15.1,19.0,134831,104795,39023,SOCLNEED,FOODSTAMP,CrdPrv,Food Stamps,POINT (-83.7843901210144 39.9166223719097)
153870,2022,OH,Ohio,Butler,BRFSS,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,%,Age-adjusted prevalence,12.5,,,11.0,14.0,388420,298743,39017,SOCLNEED,HOUSINSECU,AgeAdjPrv,Housing Insecurity,POINT (-84.5755446176036 39.4386549224371)
153876,2022,OH,Ohio,Mahoning,BRFSS,Disability,Independent living disability among adults,%,Age-adjusted prevalence,9.8,,,8.9,10.8,225636,180235,39099,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-80.7763089335898 41.014638072438)
153878,2022,OH,Ohio,Harrison,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,79.0,,,75.4,82.4,14378,11389,39067,PREVENT,CHECKUP,CrdPrv,Annual Checkup,POINT (-81.091379743179 40.2936613564664)
153883,2022,OH,Ohio,Fairfield,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,6.6,,,5.9,7.3,162898,124397,39045,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-82.6306572277557 39.7516133054728)
153886,2022,OH,Ohio,Defiance,BRFSS,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,%,Age-adjusted prevalence,8.3,,,7.3,9.5,38187,29606,39039,SOCLNEED,SHUTUTILITY,AgeAdjPrv,Utility Services Threat,POINT (-84.4905879101881 41.3239133830731)
153887,2022,OH,Ohio,Huron,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults,%,Age-adjusted prevalence,8.0,,,7.2,8.8,58218,44548,39077,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-82.5978887799573 41.1464249274686)
153888,2022,OH,Ohio,Champaign,BRFSS,Health Outcomes,Current asthma among adults,%,Age-adjusted prevalence,11.4,,,10.1,12.9,38709,30246,39021,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-83.7695338263695 40.1377112794664)
153901,2022,OH,Ohio,Fulton,BRFSS,Health-Related Social Needs,Feeling socially isolated among adults,%,Age-adjusted prevalence,32.3,,,27.7,37.1,42171,32496,39051,SOCLNEED,ISOLATION,AgeAdjPrv,Social Isolation,POINT (-84.1297060031289 41.6019480693719)
153906,2022,OH,Ohio,Hancock,BRFSS,Health Status,Fair or poor self-rated health status among adults,%,Age-adjusted prevalence,17.1,,,15.4,19.0,74861,58728,39063,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-83.6664968686287 41.0019198179089)
153907,2022,OH,Ohio,Coshocton,BRFSS,Disability,Vision disability among adults,%,Age-adjusted prevalence,5.8,,,5.2,6.3,36571,27883,39031,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-81.9201277213696 40.3017013117605)
153908,2022,OH,Ohio,Lucas,BRFSS,Health Outcomes,Stroke among adults,%,Age-adjusted prevalence,3.6,,,3.4,4.0,426643,329973,39095,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-83.6584628770734 41.6198809742992)
153912,2022,OH,Ohio,Jefferson,BRFSS,Health-Related Social Needs,Received food stamps in the past 12 months among adults,%,Age-adjusted prevalence,18.9,,,17.0,20.9,64330,51914,39081,SOCLNEED,FOODSTAMP,AgeAdjPrv,Food Stamps,POINT (-80.7611246090452 40.3850232178899)
153914,2022,OH,Ohio,Allen,BRFSS,Health-Related Social Needs,Feeling socially isolated among adults,%,Crude prevalence,33.5,,,29.1,37.9,101115,77523,39003,SOCLNEED,ISOLATION,CrdPrv,Social Isolation,POINT (-84.1057940825963 40.7714977646394)
153926,2022,OH,Ohio,Hardin,BRFSS,Disability,Independent living disability among adults,%,Age-adjusted prevalence,11.3,,,10.3,12.5,30416,23363,39065,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-83.6594148955231 40.6616220714596)
153929,2022,OH,Ohio,Jefferson,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,72.7,,,65.5,79.1,64330,51914,39081,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-80.7611246090452 40.3850232178899)
153931,2022,OH,Ohio,Fayette,BRFSS,Disability,Independent living disability among adults,%,Crude prevalence,11.6,,,10.4,12.7,28839,22120,39047,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-83.4560989933978 39.559992354904)
153932,2021,OH,Ohio,Lake,BRFSS,Health Outcomes,High cholesterol among adults who have ever been screened,%,Crude prevalence,35.1,,,31.1,39.6,231842,187697,39085,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,POINT (-81.2368191610819 41.6970249003529)
153937,2022,OH,Ohio,Fulton,BRFSS,Health Outcomes,Coronary heart disease among adults,%,Age-adjusted prevalence,7.2,,,6.4,7.9,42171,32496,39051,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-84.1297060031289 41.6019480693719)
153943,2022,OH,Ohio,Athens,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,3.2,,,2.9,3.5,58979,50122,39009,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-82.0448471943357 39.3339958943025)
153947,2022,OH,Ohio,Hancock,BRFSS,Disability,Cognitive disability among adults,%,Age-adjusted prevalence,14.4,,,13.0,16.0,74861,58728,39063,DISABLT,COGNITION,AgeAdjPrv,Cognitive Disability,POINT (-83.6664968686287 41.0019198179089)
153954,2022,OH,Ohio,Geauga,BRFSS,Disability,Mobility disability among adults,%,Age-adjusted prevalence,11.3,,,10.0,12.8,95469,74460,39055,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-81.1785666230898 41.4995505355057)
153956,2021,OH,Ohio,Franklin,BRFSS,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,%,Age-adjusted prevalence,61.2,,,57.0,64.9,1321820,1018815,39049,PREVENT,BPMED,AgeAdjPrv,High Blood Pressure Medication,POINT (-83.0095596369965 39.9695482397033)
153958,2022,OH,Ohio,Marion,BRFSS,Health Outcomes,Current asthma among adults,%,Age-adjusted prevalence,11.6,,,10.3,13.0,64642,50880,39101,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-83.1608334768194 40.5872736718226)
153961,2022,OH,Ohio,Athens,BRFSS,Disability,Vision disability among adults,%,Age-adjusted prevalence,5.0,,,4.6,5.5,58979,50122,39009,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-82.0448471943357 39.3339958943025)
